Year,County,Total Cost,Arson,Campfire,Debris Burning,Electrical Power,Equipment Use,Lightning,Miscellaneous,Playing With Fire,Railroad,Smoking,Undetermined,Vehicle
2016,San Joaquin,1936,0,0,0,0,900,0,0,0,0,0,1036,0
2016,San Luis Obispo,12215711,700,0,0,23460,21300,0,0,0,0,200,7300,12162751
2016,San Mateo,20200,0,15000,0,0,0,0,200,0,0,0,0,5000
2016,Santa Clara,275222,0,0,3500,50000,500,0,200,0,0,0,220002,1020
2016,Santa Cruz,8603,0,2,100,1000,300,0,0,0,0,0,201,7000
2016,Shasta,215711,52000,0,12211,0,100500,0,40000,0,0,0,700,10300
2016,Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Siskiyou,295712,200,0,500,286411,501,0,1500,500,1300,0,4800,0
2016,Solano,3103,0,0,0,100,1002,0,0,0,0,0,2001,0
2016,Sonoma,665106,0,0,0,1000,502,0,116002,0,0,0,503902,43700
2016,Stanislaus,8550,0,1600,0,4500,100,0,0,0,0,0,2250,100
2016,Sutter,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Tehama,434250,0,0,200,371000,7850,0,200,0,0,0,34000,21000
2016,Trinity,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Tulare,8664,0,2,0,4000,1750,500,0,0,0,0,2,2410
2016,Tuolumne,40363,0,0,601,4102,4100,0,0,20750,0,0,6260,4550
2016,Yolo,5001900,0,0,1600,100,200,0,0,0,0,0,5000000,0
2016,Yuba,197020,0,0,4,0,0,0,0,0,0,171000,26016,0
2017,Alameda,14101,1,0,0,200,0,0,0,0,0,0,13900,0
2017,Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Amador,11957,0,0,336,3331,3,0,8217,0,0,0,0,70
2017,Butte,11448706,11001,7400000,1000,3973705,1500,200,45300,0,0,0,15000,1000
2017,Calaveras,240963,0,0,1021,28726,163612,0,1609,0,0,100,45895,0
2017,Colusa,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Contra Costa,8028,0,0,0,1000,0,0,0,0,0,0,1728,5300
2017,Del Norte,13002,0,0,0,0,0,0,12000,0,0,0,1002,0
2017,El Dorado,2366816,150,0,250,1902,1003150,150,802460,0,0,300,500454,58000
2017,Fresno,415700,0,0,374000,13900,1800,0,0,500,0,0,25000,500
2017,Glenn,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Humboldt,14771,0,4763,0,10000,0,0,2,0,0,0,6,0
2017,Imperial,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Inyo,5000,0,0,0,0,0,0,0,0,0,0,0,5000
2017,Kings,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Lake,35412565,301602,0,0,35110003,0,0,56,400,0,0,502,2
2017,Lassen,2655,100,0,353,0,400,301,0,0,0,0,1,1500
2017,Madera,2864170,200,3000,1500,2072905,2500,200,782950,400,0,15,500,0
2017,Mariposa,40242411,500,17000,500,1500,50,0,39609253,0,0,0,51608,562000
2017,Mendocino,308664,0,2,102,12,2,0,300000,0,0,0,8046,500
2017,Merced,23200,0,0,0,11000,0,0,2000,0,0,0,200,10000
2017,Modoc,109236,0,1,0,0,0,200,0,0,0,0,109035,0
2017,Mono,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Monterey,555677,0,3000,0,4665,502,450,528350,0,0,0,15110,3600
2017,Napa,4000886621,1000,0,0,4000630600,1000,0,155521,0,0,0,81500,17000
2017,Nevada,4000063130,30,0,0,4000000000,3200,200,0,0,0,200,5500,54000
2017,Plumas,306,0,204,2,0,0,0,0,0,0,0,100,0
2017,Riverside,315015,9600,0,150500,1300,5200,5000,15002,500,0,0,5213,122700
2017,Sacramento,150,0,0,0,0,0,0,150,0,0,0,0,0
2017,San Benito,53300,0,0,0,200,0,0,40000,0,0,0,10100,3000
