Incident Number,County,Fire Name,Date Start,Date Contained,Origin DPA,DPA Type,Acres Burned,Vegetation Type,Cause,Structures Destroyed,Structures Damaged,Fatalities Fire,Fatalities Civil
BDF-9443,SAN BERNARDINO,HOLCOMB,6/21/17,6/29/17,USFS,Other Agencies,1503,BGT,UNDETERMINED,,,,
SQF-1317,TULARE,SCHAEFFER,6/24/17,8/5/17,USFS,Other Agencies,16031,BGT,LIGHTNING,,,,
BDF-9802,SAN BERNARDINO,MART,6/27/17,7/1/17,USFS,Other Agencies,670,BG,UNDETERMINED,,,,
MDF-415,MODOC,BATTLE,6/28/17,7/1/17,USFS,Other Agencies,640,BG,UNDETERMINED,,,,
MCP-172047,SAN DIEGO,CRISTIANITOS,6/28/17,7/1/17,DOD,Other Agencies,761,BG,UNDETERMINED,,,,
KRN-26708,KERN,QUIAL COMPLEX,7/6/17,7/6/17,CC,Other Agencies,1626,BG,UNDETERMINED,,,,
LPF-1770,SANTA BARBARA,WHITTIER,7/8/17,10/5/17,USFS,Other Agencies,18430,B,UNDETERMINED,40,7,,
HTF-30363,NEVADA,FARAD,7/10/17,7/16/17,USFS,Other Agencies,747,BGT,UNDETERMINED,,,,
NOD-30366,LASSEN,LONG VALLEY,7/11/17,7/25/17,BLM,Other Agencies,83733,BG,UNDETERMINED,8,3,,
MDF-541,MODOC,DOBE,7/13/17,7/31/17,USFS,Other Agencies,410,BGT,MISCELLANEOUS,,,,
KRN-27936,KERN,HUDSON,7/18/17,7/18/17,LOCAL,Other Agencies,1083,G,UNDETERMINED,,,,
SRF-703,SISKIYOU,MARBLE,7/19/17,7/28/17,USFS,Other Agencies,319,T,UNDETERMINED,,,,
MDF-671,MODOC,MODOC JULY COMPLEX,7/24/17,8/13/17,USFS,Other Agencies,83120,BGT,UNDETERMINED,,,,
SRF-741,SISKIYOU,ORLEANS COMPLEX,7/25/17,10/12/17,USFS,Other Agencies,27276,BGT,LIGHTNING,,,,
NOD-4279,WASHOE,R-21,7/26/17,7/27/17,BLM,Other Agencies,589,BG,LIGHTNING,,,,
PNF-1043,PLUMAS,MINERVA 5,7/29/17,8/16/17,USFS,Other Agencies,4310,T,UNDETERMINED,,,,
SQF-1989,KERN,GARDEN,7/30/17,8/9/17,USFS,Other Agencies,450,B,MISCELLANEOUS,,,,
INF-1235,MONO,GRANT,7/31/17,8/3/17,USFS,Other Agencies,400,BT,LIGHTNING,,,,
STF-2452,TUOLUMNE,SUMMIT COMPLEX,7/31/17,11/30/17,USFS,Other Agencies,5248,BT,UNDETERMINED,,,,
YNP-84,MARIPOSA,EMPIRE,8/1/17,10/31/17,NPS,Other Agencies,6370,BT,LIGHTNING,,,,
LPF-2123,SAN LUIS OBISPO,RED,8/2/17,8/3/17,USFS,Other Agencies,450,BG,UNDETERMINED,,,,
MDF-862,MODOC,PARKER 2,8/3/17,8/14/17,USFS,Other Agencies,7697,BT,LIGHTNING,1,,,
INF-1264,TULARE,INDIAN,8/3/17,8/29/17,USFS,Other Agencies,2295,BT,LIGHTNING,,,,
TNF-992,PLUMAS,CHILCOOT,8/6/17,8/8/17,USFS,Other Agencies,1021,BG,LIGHTNING,,,,
PNF-1145,LASSEN,POSLIN,8/6/17,8/9/17,USFS,Other Agencies,860,BG,LIGHTNING,,,,
SNF-1476,MADERA,BUTTE,8/7/17,8/17/17,USFS,Other Agencies,635,BT,LIGHTNING,,,,
SRF-863,DEL NORTE,YOUNG,8/7/17,10/15/17,USFS,Other Agencies,21377,BT,UNDETERMINED,,,,
SRF-897,TRINITY,RUTH COMPLEX,8/9/17,8/25/17,USFS,Other Agencies,4736,BGT,LIGHTNING,,,,
KRN-31474,KERN,ROSE,8/10/17,8/10/17,CC,Other Agencies,338,G,MISCELLANEOUS,,,,
KNF-6081,SISKIYOU,SALMON AUGUST COMPLEX,8/13/17,10/20/17,USFS,Other Agencies,65889,BT,UNDETERMINED,1,,,
YNP-108,MARIPOSA,SOUTH FORK,8/13/17,11/30/17,NPS,Other Agencies,7000,BT,UNDETERMINED,,,,
RSF-647,JACKSON (OR),MILLER COMPLEX,8/14/17,11/30/17,USFS,Other Agencies,39716,T,UNDETERMINED,,,,
KNF-6098,SISKIYOU,ECLIPSE COMPLEX,8/15/17,10/10/17,USFS,Other Agencies,78698,BT,LIGHTNING,,,,
NEU-21927,YUBA,BEALE,8/20/17,8/20/17,DOD,Other Agencies,950,G,UNDETERMINED,,,,
MDF-1101,MODOC,JONES,8/23/17,8/27/17,USFS,Other Agencies,375,BGT,LIGHTNING,,,,
MDF-1102,MODOC,BOLES,8/23/17,9/4/17,USFS,Other Agencies,371,GT,LIGHTNING,,,,
NOD-5152,LASSEN,MUD,8/29/17,9/1/17,BLM,Other Agencies,6042,G,LIGHTNING,,,,
SNF-1743,MADERA,RAILROAD,8/29/17,9/15/17,USFS,Other Agencies,12407,BT,UNDETERMINED,8,1,1,
OVD-1478,MONO,SLINKARD,8/29/17,9/11/17,BLM,Other Agencies,8925,BGT,LIGHTNING,,,,
SQF-2385,TULARE,PIER,8/29/17,9/24/17,USFS,Other Agencies,36556,BT,MISCELLANEOUS,2,,,
NOD-5180,WASHOE (NV),R-4,8/30/17,9/18/17,BLM,Other Agencies,18618,G,LIGHTNING,,,,
SHF-1770,TRINITY,HELENA,8/30/17,10/19/17,USFS,Other Agencies,21449,BT,MISCELLANEOUS,131,,,
SQF-2435,KERN,CALDWELL,9/1/17,9/6/17,USFS,Other Agencies,1319,BG,LIGHTNING,,,,
LFD-965,LOS ANGELES,LA TUNA,9/1/17,9/8/17,LOCAL,Other Agencies,7194,BG,UNDETERMINED,5,,,
STF-2590,TUOLUMNE,CREEK,9/3/17,11/20/17,USFS,Other Agencies,1749,BT,LIGHTNING,,,,
PNF-1488,PLUMAS,EUREKA,9/5/17,10/31/17,USFS,Other Agencies,437,BT,LIGHTNING,,,,
ENF-26677,EL DORADO,TABLE,9/8/17,10/17/17,USFS,Other Agencies,426,T,UNDETERMINED,,,,
SHF-1850,TRINITY,BUCK,9/12/17,11/5/17,USFS,Other Agencies,13434,BGT,LIGHTNING,,,,
SQF-2753,TULARE,LION,9/24/17,11/27/17,USFS,Other Agencies,19215,BGT,LIGHTNING,,,,
MCP,SAN DIEGO,BUFFALO,10/17/17,10/19/17,DOD,Other Agencies,1088,B,UNDETERMINED,,,,
CNF-3839,RIVERSIDE,WILDOMAR,10/26/17,11/1/17,USFS,Other Agencies,866,BG,VEHICLE,,,,
HTF-30870,MONO,CHRIS,11/13/17,11/16/17,USFS,Other Agencies,370,T,UNDETERMINED,,,,
LFD-30179,LOS ANGELES,SKIRBALL,12/6/17,12/17/17,LOCAL,Other Agencies,422,BG,CAMPFIRE,9,13,,
RRU-151090,RIVERSIDE,LIBERTY,12/7/17,12/9/17,LOCAL,Other Agencies,300,BG,ELECTRICAL POWER,3,1,,
BDU-5618,INYO,MOFFAT,4/19/18,4/24/18,CAL FIRE,State and Contract Counties ,1065,BG,UNDETERMINED,,,,
MMU-8764,MERCED,NEES,5/2/18,5/2/18,CAL FIRE,State and Contract Counties ,1756,G,EQUIPMENT USE,,,,
RRU-62932,RIVERSIDE,PATTERSON,5/17/18,5/18/18,CAL FIRE,State and Contract Counties ,1261,BG,EQUIPMENT USE,,,,
MMU-10096,MADERA,CANAL,5/19/18,5/20/18,CAL FIRE,State and Contract Counties ,300,G,ELECTRICAL POWER,,,,
LAC-166129,LOS ANGELES,STONE,6/4/18,6/8/18,CC,State and Contract Counties ,1352,BG,HUMAN,,,,
MMU-11264,MADERA,O'NEALS,6/4/18,6/7/18,CAL FIRE,State and Contract Counties ,300,BG,EQUIPMENT USE,,,,
BEU-2666,SAN BENITO,AIRLINE 2,6/4/18,6/12/18,CAL FIRE,State and Contract Counties ,1314,BG,UNDETERMINED,,,,
BEU-2668,SAN BENITO,EASTERN 2,6/4/18,6/12/18,CAL FIRE,State and Contract Counties ,513,BG,ELECTRICAL POWER,,,,
TGU-5555,TEHAMA,APPLE,6/9/18,6/12/18,CAL FIRE,State and Contract Counties ,2956,BG,EQUIPMENT USE,9,3,,
TGU-5560,GLENN,CHROME,6/9/18,6/22/18,CAL FIRE,State and Contract Counties ,2290,BG,MISCELLANEOUS,1,,,
MMU-12081,MERCED,PLANADA,6/15/18,6/19/18,CAL FIRE,State and Contract Counties ,4563,G,EQUIPMENT USE,,,,
LNU-9002,LAKE,PAWNEE,6/23/18,7/8/18,CAL FIRE,State and Contract Counties ,15180,BG,TARGET SHOOTING,22,6,,
TGU-6031,TEHAMA,LANE,6/23/18,7/4/18,CAL FIRE,State and Contract Counties ,3392,BG,UNDETERMINED,,,,
TGU-6589,SHASTA,PANTHER,6/24/18,6/26/18,CAL FIRE,State and Contract Counties ,386,G,CAMPFIRE,,,,
BTU-9333,BUTTE,SHIPPEE,6/26/18,6/27/18,CAL FIRE,State and Contract Counties ,460,G,ELECTRICAL POWER,,,,
LMU-3203,LASSEN,HYATT,6/27/18,6/29/18,CAL FIRE,State and Contract Counties ,383,BG,PLAYING WITH FIRE,4,,,
TCU-7477,SAN JOAQUIN,WAVERLY,6/29/18,7/12/18,CAL FIRE,State and Contract Counties ,11789,GT,EQUIPMENT USE,1,,,
LNU-9502,YOLO,COUNTY,6/30/18,7/14/18,CAL FIRE,State and Contract Counties ,90000,BGT,ELECTRICAL POWER,29,4,,
AEU-18477,EL DORADO,SHINGLE,7/4/18,7/5/18,CAL FIRE,State and Contract Counties ,316,G,EXPLOSIVE DEVICE,,,,
SKU-4641,SISKIYOU,KLAMATHON,7/5/18,7/21/18,CAL FIRE,State and Contract Counties ,38008,BGT,ARSON,83,12,,1
BDU-9683,SAN BERNARDINO,VALLEY,7/6/18,7/12/18,CAL FIRE,State and Contract Counties ,1350,BT,UNDETERMINED,,,,
AEU-18720,AMADOR,IRISH,7/6/18,7/9/18,CAL FIRE,State and Contract Counties ,825,GT,EQUIPMENT USE,1,1,,
SCU-4856,ALAMEDA,GRANT,7/8/18,7/9/18,CAL FIRE,State and Contract Counties ,480,G,FIREWORKS,1,,,
TGU-6649,TEHAMA,DALE,7/9/18,7/9/18,CAL FIRE,State and Contract Counties ,856,G,VEHICLE,,,,
LNU-10755,YOLO,EIGHTY EIGHT,7/18/18,7/21/18,CAL FIRE,State and Contract Counties ,822,BG,UNDETERMINED,,,,
SCU-5218,SANTA CLARA,COUNTRY,7/22/18,7/24/18,CAL FIRE,State and Contract Counties ,320,BG,EQUIPMENT USE,,,,
SHU-7808,SHASTA,CARR,7/23/18,9/1/18,CAL FIRE,State and Contract Counties ,229651,BG,VEHICLE,"1,614",279,3,4
MVU-11206,SAN DIEGO,PASQUAL,7/27/18,7/31/18,CAL FIRE,State and Contract Counties ,365,B,UNDETERMINED,,,,
MEU-8653,"COLUSA, LAKE,MENDOCINO","RIVER - MENDOCINOCOMPLEX",7/27/18,9/27/18,CAL FIRE,State and Contract Counties ,48920,BGT,UNDETERMINED,35,11,,
MEU-8646,"COLUSA, GLENN,LAKE, MENDOCINO","RANCH - MENDOCINOCOMPLEX",7/27/18,8/17/18,CAL FIRE,State and Contract Counties ,410203,BGT,HUMAN,246,27,1,
NEU-31125,PLACER,SUNSET,8/1/18,8/3/18,CAL FIRE,State and Contract Counties ,695,G,UNDETERMINED,,,,
KRN-31160,KERN,TARINA,8/3/18,8/5/18,CC,State and Contract Counties ,3516,G,UNDETERMINED,,,,
BEU-3889,MONTEREY,TURKEY,8/6/18,8/7/18,CAL FIRE,State and Contract Counties ,2225,G,HUMAN,,,,
SHU-8470,SHASTA,HAT,8/9/18,8/23/18,CAL FIRE,State and Contract Counties ,1900,BT,UNDETERMINED,,,,
LNU-12354,SOLANO,NELSON,8/10/18,8/14/18,CAL FIRE,State and Contract Counties ,2162,BG,HUMAN,1,1,,
BEU-3992,MONTEREY,GULCH,8/11/18,8/11/18,CAL FIRE,State and Contract Counties ,700,G,VEHICLE,,,,
TUU-389,TULARE,RIVER 7,8/15/18,8/19/18,CAL FIRE,State and Contract Counties ,496,G,UNDETERMINED,,,,
LNU-14193,NAPA,SNELL,9/8/18,9/15/18,CAL FIRE,State and Contract Counties ,2490,BG,EQUIPMENT USE,,,,
TCU-10699,TUOLUMNE,TULLOCH,9/8/18,9/10/18,CAL FIRE,State and Contract Counties ,573,G,VEHICLE,,,,
BEU-4537,MONTEREY,METZ,9/13/18,9/15/18,CAL FIRE,State and Contract Counties ,411,BG,ELECTRICAL POWER,,,,
MMU-19816,MADERA,OAK,9/22/18,9/29/18,CAL FIRE,State and Contract Counties ,360,BG,PLAYING WITH FIRE,,,,
LAC-288255,LOS ANGELES,CHARLIE,9/22/18,9/30/18,CC,State and Contract Counties ,3380,BT,UNDETERMINED,,,,
TGU-9672,TEHAMA,SUN,10/7/18,10/7/18,CAL FIRE,State and Contract Counties ,3889,BG,VEHICLE,,,,
BTU-16272,BUTTE,JUNES,10/30/18,11/12/18,CAL FIRE,State and Contract Counties ,550,G,DEBRIS BURNING,,,,
VNC-41023,VENTURA,HILL,11/8/18,11/16/18,CC,State and Contract Counties ,4381,B,UNDETERMINED,4,2,,
BTU-16737,BUTTE,CAMP,11/8/18,12/20/18,CAL FIRE,State and Contract Counties ,153336,BGT,ELECTRICAL POWER,"18,804",754,,86
VNC-41028,VENTURA,WOOLSEY,11/8/18,11/22/18,CC,State and Contract Counties ,96949,BG,UNDETERMINED,"1,643",364,,3
INF-3072,INYO,PLEASANT,2/18/18,2/25/18,USFS,Other Agencies,2070,BG,UNDETERMINED,,,,
MCP,SAN DIEGO,ALPHA,5/4/18,5/5/18,MIL,Other Agencies,300,G,UNDETERMINED,,,,
SNF-493,MADERA,LIONS,6/11/18,7/14/18,USFS,Other Agencies,12990,BT,LIGHTNING,,,,
NOD-2938,LASSEN,TUMBLEWEED,6/14/18,6/17/18,BLM,Other Agencies,646,BG,HUMAN,,,,
BOB-4636,SAN LUIS OBISPO,YANKEE,6/20/18,6/22/18,MIL,Other Agencies,1500,G,UNDETERMINED,,,,
MCP-1837,SAN DIEGO,PENDLETON COMPLEX,7/6/18,7/10/18,MIL,Other Agencies,1520,G,UNDETERMINED,,,,
CNF-2238,SAN DIEGO,WEST,7/6/18,7/10/18,USFS,Other Agencies,505,BG,UNDETERMINED,48,14,,
INF-1071,INYO,GEORGES,7/8/18,7/23/18,USFS,Other Agencies,2941,BT,UNDETERMINED,,,,
CHI-7178,BUTTE,STONEY,7/12/18,7/20/18,LOCAL,Other Agencies,1000,BG,UNDETERMINED,,,,
NOD-3575,MODOC,EAGLE,7/13/18,7/20/18,BLM,Other Agencies,2100,BGT,UNDETERMINED,,,,
SNF-745,MARIPOSA,FERGUSON,7/13/18,8/22/18,USFS,Other Agencies,96901,BGT,UNDETERMINED,11,,2,
BDF-11390,RIVERSIDE,CRANSTON,7/25/18,8/9/18,USFS,Other Agencies,13139,BGT,HUMAN,12,5,,
LNF-3951,LASSEN,WHALEBACK,7/27/18,8/6/18,USFS,Other Agencies,18703,BT,UNDETERMINED,,,,
YUB-6117,SUTTER,BUTTE,7/31/18,8/2/18,LOCAL,Other Agencies,1000,BG,UNDETERMINED,,,,
INF-1394,MONO,OWENS,7/31/18,8/5/18,USFS,Other Agencies,338,B,UNDETERMINED,,,,
OVD-1396,MONO,HOTCREEK,7/31/18,8/5/18,BLM,Other Agencies,419,B,UNDETERMINED,,,,
MNF-874,MENDOCINO,EEL,7/31/18,8/8/18,USFS,Other Agencies,972,BG,HUMAN,10,,,
STF-1702,TUOLUMNE,DONNELL,8/1/18,10/31/18,USFS,Other Agencies,36450,BT,UNDETERMINED,135,,,
CNF-2664,ORANGE,HOLY,8/6/18,9/14/18,USFS,Other Agencies,23025,BG,ARSON,24,18,,
SHF-1223,SHASTA,HIRZ,8/9/18,9/12/18,USFS,Other Agencies,46051,BGT,HUMAN,,,,
MDF-1193,MODOC,STONE,8/15/18,9/1/18,USFS,Other Agencies,39387,BGT,LIGHTNING,2,,,
HIA-115,HUMBOLDT,MILL CREEK 1,8/16/18,8/30/18,BIA,Other Agencies,3674,BGT,HUMAN,,,,
SQF-2140,KERN,CALL,8/18/18,8/21/18,USFS,Other Agencies,367,BG,HUMAN,,,,
LPF-2334,SAN LUIS OBISPO,FRONT,8/19/18,8/29/18,USFS,Other Agencies,1014,BG,UNDETERMINED,,,,
TNF-1355,PLACER,NORTH,9/3/18,9/16/18,USFS,Other Agencies,1120,T,UNDETERMINED,,,,
SHF-1438,TRINITY,KERLIN,9/4/18,9/17/18,USFS,Other Agencies,1751,T,HUMAN,5,,,
SHF-1444,SHASTA,DELTA,9/5/18,10/11/18,USFS,Other Agencies,63311,BT,HUMAN,42,4,,
FHL-2806,MONTEREY,NACIMIENTO,10/2/18,10/3/18,MIL,Other Agencies,450,G,UNDETERMINED,,,,
SQF-2733,TULARE,ALDER,10/4/18,12/22/18,USFS,Other Agencies,4654,T,LIGHTNING,,,,
SUI-412,SOLANO,BRANSCOMBE,10/7/18,10/8/18,LOCAL,Other Agencies,4500,G,UNDETERMINED,2,,,
SQF-2786,TULARE,MOUNTAINEER,10/13/18,12/22/18,USFS,Other Agencies,1270,T,LIGHTNING,,,,
RRU-34071,RIVERSIDE,LINCOLN,3/15/19,3/20/19,CAL FIRE,State and Contract Counties ,560,G,ARSON,,,,
SLU-7006,SAN LUIS OBISPO,BELMONT,5/29/19,5/29/19,CAL FIRE,State and Contract Counties ,835,G,LIGHTNING,,,,
SLU-7315,SAN LUIS OBISPO,BOULDER,6/5/19,6/5/19,CAL FIRE,State and Contract Counties ,1075,G,ELECTRICAL POWER,,,,
SCU-3879,STANISLAUS,STUHR,6/7/19,6/7/19,CAL FIRE,State and Contract Counties ,581,G,EQUIPMENT USE,,,,
LNU-9880,COLUSA,SAND,6/8/19,6/15/20,CAL FIRE,State and Contract Counties ,2220,BG,LIGHTNING,4,,,
SLU-7684,SAN LUIS OBISPO,MCMILLAN,6/12/19,6/13/19,CAL FIRE,State and Contract Counties ,1763,G,EQUIPMENT USE,,,,
RRU-79226,RIVERSIDE,JERRY,6/21/19,6/21/19,CAL FIRE,State and Contract Counties ,500,G,VEHICLE,,,,
BEU-3696,MONTEREY,LONOAK,6/25/19,6/26/19,CAL FIRE,State and Contract Counties ,2546,G,ELECTRICAL POWER,,,,
SCU-4384,STANISLAUS,ROCK,6/25/19,6/27/19,CAL FIRE,State and Contract Counties ,2420,BG,PLAYING WITH FIRE,,,,
SLU-8993,SAN LUIS OBISPO,GILLIS,7/8/19,7/9/19,CAL FIRE,State and Contract Counties ,1010,G,EQUIPMENT USE,1,1,,
BEU-4344,MONTEREY,LAKE,7/29/19,8/1/19,CAL FIRE,State and Contract Counties ,306,BG,VEHICLE,,,,
SCU-5526,CONTRA COSTA,MARSH CREEK 3,8/3/19,8/7/19,CAL FIRE,State and Contract Counties ,340,BG,ARSON,,,,
MMU-17062,MARIPOSA,HUNTER,8/15/19,8/15/19,CAL FIRE,State and Contract Counties ,433,G,UNDER INVESTIGATION,,,,
MMU-17127,MARIPOSA,GAINES,8/16/19,8/20/19,CAL FIRE,State and Contract Counties ,1300,G,UNDER INVESTIGATION,,,,
SHU-9030,SHASTA,MOUNTAIN,8/22/19,8/31/19,CAL FIRE,State and Contract Counties ,600,BG,ARSON,14,7,,
TUU-684,TULARE,CREEK,8/31/19,9/4/19,CAL FIRE,State and Contract Counties ,756,BG,EQUIPMENT USE,,,,
RRU-113828,RIVERSIDE,TENAJA,9/4/19,9/14/19,CAL FIRE,State and Contract Counties ,1926,BG,UNDER INVESTIGATION,,3,,
TGU-9386,TEHAMA,RED BANK,9/5/19,9/17/19,CAL FIRE,State and Contract Counties ,8836,BGT,LIGHTNING,2,,,
BTU-10635,BUTTE,SWEDES,9/7/19,9/9/19,CAL FIRE,State and Contract Counties ,496,BG,ARSON,2,1,,
RRU-118651,RIVERSIDE,HORSESHOE,9/14/19,9/17/19,CAL FIRE,State and Contract Counties ,503,BG,UNDETERMINED,,,,
NEU-23002,PLACER,BASELINE,9/20/19,9/21/19,CAL FIRE,State and Contract Counties ,640,G,VEHICLE,,,,
LNU-18056,NAPA,AMERICAN,10/6/19,10/7/19,CAL FIRE,State and Contract Counties ,526,BG,UNDETERMINED,1,,,
MMU-21257,MARIPOSA,BRICEBURG,10/6/19,10/20/19,CAL FIRE,State and Contract Counties ,5563,BG,VEHICLE,1,,,
RRU-130198,RIVERSIDE,RECHE,10/10/19,10/12/19,CAL FIRE,State and Contract Counties ,350,BG,UNDETERMINED,1,1,,
SBC-25032,SANTA BARBARA,REAL,10/17/19,10/21/19,CC,State and Contract Counties ,420,BG,HUMAN,,,,
LNU-19376,SONOMA,KINCADE,10/23/19,11/10/19,CAL FIRE,State and Contract Counties ,77758,BGT,ELECTRICAL POWER,374,60,,
TGU-11434,TEHAMA,RAWSON,10/26/19,10/27/19,CAL FIRE,State and Contract Counties ,605,G,VEHICLE,1,3,,
MEU-13345,MENDOCINO,BURRIS,10/27/19,11/2/19,CAL FIRE,State and Contract Counties ,703,BG,UNDER INVESTIGATION,,,,
VNC-41710,VENTURA,EASY,10/30/19,11/8/19,CC,State and Contract Counties ,2375,BT,ELECTRICAL POWER,1,1,,
RRU-139654,RIVERSIDE,HILL,10/31/19,11/3/19,CAL FIRE,State and Contract Counties ,628,BG,UNDER INVESTIGATION,,,,
RRU-139997,RIVERSIDE,46TH,10/31/19,10/31/19,CAL FIRE,State and Contract Counties ,328,BG,VEHICLE,7,7,,
VNC-42100,VENTURA,MARIA,10/31/19,11/6/19,CC,State and Contract Counties ,9999,BG,ELECTRICAL POWER,4,,,
TGU-11766,TEHAMA,RANCH,11/3/19,11/6/19,CAL FIRE,State and Contract Counties ,2534,BT,CAMPFIRE,,1,,
NEU-28628,PLACER,FOOTHILLS,11/25/19,11/25/19,CAL FIRE,State and Contract Counties ,308,BG,VEHICLE,,,,
KRN-18282,KERN,REFUGE,5/7/19,5/8/19,LOCAL,Other Agencies,2500,G,UNDETERMINED,,,,
STF-1355,TUOLOMNE,ROSASCO,5/23/19,9/11/19,USFS,Other Agencies,731,T,HUMAN,,,,
STC-13326,SUTTER,WEST BUTTE,6/8/19,6/9/19,LOCAL,Other Agencies,1300,G,UNDETERMINED,7,,,
INF-903,TULARE,JORDAN,6/9/19,7/1/19,USFS,Other Agencies,591,B,UNDETERMINED,,,,
MNF-241,TRINITY,EAST,6/17/19,7/18/19,USFS,Other Agencies,410,BT,LIGHTNING,,,,
INF-1435,TULARE,COW,7/25/19,10/11/19,USFS,Other Agencies,2025,T,LIGHTNING,,,,
INF-1465,MONO,SPRINGS,7/26/19,10/1/19,USFS,Other Agencies,4840,BT,LIGHTNING,,,,
MDF-509,MODOC,TUCKER,7/28/19,8/4/19,USFS,Other Agencies,14150,BGT,UNDETERMINED,,,,
LPF-1678,MONTEREY,MILL,7/30/19,8/8/19,USFS,Other Agencies,310,BGT,UNDETERMINED,,,,
SND-19114701,SAN DIEGO,CALIENTE,8/1/19,8/3/19,LOCAL,Other Agencies,448,G,UNDETERMINED,,,,
NOD-4382,LASSEN,W-1 MCDONALD,8/8/19,8/11/19,BLM,Other Agencies,1020,BG,LIGHTNING,,,,
SQF-1708,TULARE,BRODER,8/8/19,9/20/19,USFS,Other Agencies,381,BT,LIGHTNING,,,,
CDD-12920,SAN BERNARDINO,BARSTOW,8/11/19,8/12/19,LOCAL,Other Agencies,685,G,UNDETERMINED,,,,
CCD-30580,LASSEN,LONG VALLEY,8/24/19,8/27/19,BLM,Other Agencies,2438,BG,UNDETERMINED,1,4,,
NOD-4869,LASSEN,R-1 RANCH,8/28/19,9/4/19,BLM,Other Agencies,3380,BGT,LIGHTNING,,,,
SHF-1209,TEHAMA,SOUTH,9/5/19,11/27/19,USFS,Other Agencies,5332,BT,LIGHTNING,2,,,
PNF-1324,PLUMAS,WALKER,9/4/19,9/25/19,USFS,Other Agencies,54608,BT,UNDETERMINED,9,,,
INF-2018,INYO,TABOOSE,9/4/19,11/21/19,USFS,Other Agencies,10400,BGT,LIGHTNING,,,,
MDF-836,MODOC,LONE,9/5/19,9/17/19,USFS,Other Agencies,5737,BGT,LIGHTNING,,,,
KNF-7074,SISKIYOU,LIME,9/5/19,9/25/19,USFS,Other Agencies,1872,BT,LIGHTNING,,,,
SHF-1196,TRINITY,MIDDLE,9/5/19,10/11/19,USFS,Other Agencies,1339,BT,LIGHTNING,,,,
CMS-1901132,RIVERSIDE,SANDALWOOD,10/10/19,10/15/19,LOCAL,Other Agencies,1011,BT,UNDETERMINED,73,16,,2
LFD-1582,LOS ANGELES,SADDLE RIDGE,10/10/19,10/26/19,LOCAL,Other Agencies,8799,BGT,UNDETERMINED,24,91,,1
ENF-30945,EL DORADO,CAPLES,10/10/19,10/31/19,USFS,Other Agencies,3435,BT,PRESCRIBED FIRE,,,,
LAC-326166,LOS ANGELES,TICK,10/24/19,10/31/19,LOCAL,Other Agencies,3950,BG,UNDETERMINED,29,46,,
LFD-1583,LOS ANGELES,GETTY,10/28/19,11/14/19,LOCAL,Other Agencies,745,BG,ELECTRICAL POWER,13,19,,
LPF-2908,SANTA BARBARA,CAVE,11/25/19,12/13/19,USFS,Other Agencies,3126,BG,UNDETERMINED,1,,,
