Incident Number,County,Fire Name,Date Start,Date Contained,Origin DPA,DPA Type,Acres Burned,Vegetation Type,Cause,Structures Destroyed,Structures Damaged,Fatalities Fire,Fatalities Civil
SRF-1488,DEL NORTE,GASQUET COMPLEX,7/31/15,10/15/15,USFS,Other Agencies,30361,T,LIGHTNING,,,,
MCP-2459,SAN DIEGO,HORNO,8/13/15,8/17/15,DOD,Other Agencies,1846,B,HUMAN,,,,
ANF-3611,LOS ANGELES,CABIN,8/14/15,8/20/15,USFS,Other Agencies,1723,B,UNDETERMINED,3,,,
INF-1319,MONO,WALKER,8/14/15,8/31/15,USFS,Other Agencies,3676,TBG,UNDETERMINED,,,,
ANF-3651,LOS ANGELES,WARM,8/16/15,8/19/15,USFS,Other Agencies,300,B,UNDETERMINED,3,3,,
KRN-30112,KERN,DEER,8/18/15,8/20/15,KRN,Other Agencies,311,TBG,UNDETERMINED,,,,
YNP-123,MARIPOSA,TENAYA,9/7/15,9/16/15,USFS,Other Agencies,415,TB,UNDETERMINED,,,,
VNC-89187,VENTURA,SOLIMAR,12/25/15,12/28/15,VNC,Other Agencies,1288,B,UNDETERMINED,,,,
BEU-2369,MONTEREY,METZ,5/22/16,5/25/16,CAL FIRE,State and Contract Counties ,3876,BG,DEBRIS BURNING,,,,
MVU-14498,SAN DIEGO,BORDER 3,6/19/16,7/1/16,CAL FIRE,State and Contract Counties ,7609,BG,UNDETERMINED,16,3,,2
MMU-12363,MERCED,DINOSAUR,6/25/16,6/26/16,CAL FIRE,State and Contract Counties ,1246,G,VEHICLE,,,,
AEU-17670,SACRAMENTO,RANCHO,6/28/16,6/30/16,CAL FIRE,State and Contract Counties ,372,G,VEHICLE,,,,
NEU-15200,PLACER,TRAILHEAD,6/28/16,8/14/16,CAL FIRE,State and Contract Counties ,5645,BT,UNDETERMINED,,,,
TGU-5731,TEHAMA,COLYEAR,6/30/16,7/6/16,CAL FIRE,State and Contract Counties ,464,BG,ELECTRICAL POWER,,,,
FKU-9100,FRESNO,CURRY,7/1/16,7/4/16,CAL FIRE,State and Contract Counties ,2944,BG,UNDETERMINED,,,,
KRN-24109,KERN,DEER,7/1/16,7/10/16,CC,State and Contract Counties ,1785,BGT,UNDETERMINED,,,,
TCU-6914,CALAVERAS,APPALOOSA,7/2/16,7/15/16,CAL FIRE,State and Contract Counties ,310,BGT,ELECTRICAL POWER,1,,,
SHU-6739,SHASTA,FIDDLER,7/8/16,7/9/16,CAL FIRE,State and Contract Counties ,303,BGT,ARSON,1,1,,
KRN-25390,KERN,FORT,7/8/16,7/9/16,CC,State and Contract Counties ,554,BG,UNDETERMINED,,,,
LAC-198015,LOS ANGELES,SAGE,7/9/16,7/16/16,CC,State and Contract Counties ,1100,BGT,CAMPFIRE,,2,,
TCU-7341,CALAVERAS,PACHECO,7/12/16,7/18/16,CAL FIRE,State and Contract Counties ,341,BGT,EQUIPMENT,2,,,
BEU-3422,MONTEREY,SOBERANES,7/22/16,10/13/16,CAL FIRE,State and Contract Counties ,132127,BGT,CAMPFIRE,68,5,1,
FKU-10852,FRESNO,GOOSE,7/30/16,8/9/16,CAL FIRE,State and Contract Counties ,2241,BG,ARSON,9,1,,
BTU-11608,BUTTE,99,8/2/16,8/8/16,CAL FIRE,State and Contract Counties ,520,G,PLAYING WITH FIRE,,,,
LNU-7135,YOLO,COLD,8/2/16,8/12/16,CAL FIRE,State and Contract Counties ,5731,BG,UNDETERMINED,2,,,
FKU-11358,FRESNO,MINERAL,8/8/16,8/19/16,CAL FIRE,State and Contract Counties ,7050,BG,ARSON,2,,,
SLU-8948,SAN LUIS OBISPO,CHIMNEY,8/13/16,9/7/16,CAL FIRE,State and Contract Counties ,46235,BT,VEHICLE,70,8,,
BEU-2369,MONTEREY,METZ,5/22/16,5/25/16,CAL FIRE,State and Contract Counties ,3876,BG,DEBRIS BURNING,,,,
LNU-7582,LAKE,CLAYTON,8/13/16,9/3/16,CAL FIRE,State and Contract Counties ,3929,BG,ARSON,300,28,,
NEU-20037,YUBA,BEALE,8/18/16,8/19/16,CAL FIRE,State and Contract Counties ,389,G,MISCELLANEOUS,,,,
