"Incident.Number","County","Fire.Name","Date.Start","Date.Contained","Origin.DPA","DPA.Type","Acres.Burned","Vegetation.Type","Cause","Structures.Destroyed","Structures.Damaged","Fatalities.Fire","Fatalities.Civil","Year","Month","Timber","Brush","Woodland","Grass","Agricultural","Structures.All","Fatalities.All"
"MCP-1207","SAN DIEGO","CARL","4/28/15","4/29/15","DOD","Other Agencies",4000,"B","UNDETERMINED",NA,NA,NA,NA,"2015",4,0,1,0,0,0,NA,NA
"MCP-1210","SAN DIEGO","MORTAR","4/28/15","4/29/15","DOD","Other Agencies",800,"B","UNDETERMINED",NA,NA,NA,NA,"2015",4,0,1,0,0,0,NA,NA
"MCP-1212","SAN DIEGO","GRENADE","4/29/15","5/5/15","DOD","Other Agencies",2025,"B","UNDETERMINED",NA,NA,NA,NA,"2015",4,0,1,0,0,0,NA,NA
"SHF-1371","TRINITY","SADDLE","6/9/15","6/25/15","USFS","Other Agencies",1542,"TB","LIGHTNING",NA,NA,NA,NA,"2015",6,1,1,0,0,0,NA,NA
"FHL-001570","MONTEREY","PEANUT","6/11/15","6/11/15","DOD","Other Agencies",1532,"G","UNDETERMINED",NA,NA,NA,NA,"2015",6,0,0,0,1,0,NA,NA
"BDF-7894","SAN BERNARDINO","LAKE","6/17/15","7/5/15","USFS","Other Agencies",31359,"TB","UNDETERMINED",4,NA,NA,NA,"2015",6,1,1,0,0,0,NA,NA
"SNF-1058","MADERA","SKY","6/18/15","6/26/15","USFS","Other Agencies",500,"TB","VEHICLE",NA,NA,NA,NA,"2015",6,1,1,0,0,0,NA,NA
"LAC-173220","LOS ANGELES","CALGROVE","6/24/15","6/26/15","LAC","Other Agencies",415,"B","UNDETERMINED",NA,1,NA,NA,"2015",6,0,1,0,0,0,NA,NA
"BDF-9001","SAN BERNARDINO","NORTH","7/17/15","7/21/15","USFS","Other Agencies",4250,"BG","UNDETERMINED",23,5,NA,NA,"2015",7,0,1,0,1,0,28,NA
"SQF-2313","TULARE","CABIN","7/19/15","9/5/15","USFS","Other Agencies",6980,"T","LIGHTNING",NA,NA,NA,NA,"2015",7,1,0,0,0,0,NA,NA
"SNF-1689","MADERA","WILLOW","7/25/15","8/15/15","USFS","Other Agencies",5702,"T","UNDETERMINED",NA,NA,NA,NA,"2015",7,1,0,0,0,0,NA,NA
"MDF-570","MODOC","FROG","7/30/15","8/6/15","USFS","Other Agencies",4863,"T","LIGHTNING",NA,NA,1,NA,"2015",7,1,0,0,0,0,NA,NA
"SHF-2066","TRINITY","RIVER COMPLEX","7/30/15","10/15/15","USFS","Other Agencies",77081,"T","LIGHTNING",NA,NA,NA,NA,"2015",7,1,0,0,0,0,NA,NA
"SRF-1476","HUMBOLDT","ROUTE COMPLEX","7/30/15","8/31/15","USFS","Other Agencies",35675,"T","LIGHTNING",2,NA,NA,NA,"2015",7,1,0,0,0,0,NA,NA
"SHF-2067","TRINITY","FORK COMPLEX","7/30/15","8/29/15","USFS","Other Agencies",36499,"TBG","UNDETERMINED",12,NA,NA,NA,"2015",7,1,1,0,1,0,NA,NA
"SRF-1433","TRINITY","MAD RIVER COMPLEX","7/30/15","9/3/15","USFS","Other Agencies",37462,"T","LIGHTNING",4,NA,NA,NA,"2015",7,1,0,0,0,0,NA,NA
"SNF-1746","FRESNO","ROUGH","7/31/15","12/1/15","USFS","Other Agencies",151623,"TBG","LIGHTNING",4,NA,NA,NA,"2015",7,1,1,0,1,0,NA,NA
"SHF-2108","TRINITY","SOUTH COMPLEX","8/1/15","10/1/15","USFS","Other Agencies",29416,"T","LIGHTNING",3,NA,NA,NA,"2015",8,1,0,0,0,0,NA,NA
"SRF-1470","DEL NORTE","NICKOWITZ","8/1/15","9/30/15","USFS","Other Agencies",7509,"T","LIGHTNING",NA,NA,NA,NA,"2015",8,1,0,0,0,0,NA,NA
"NOD-3806","LASSEN","DODGE","8/3/15","8/17/15","BLM","Other Agencies",10570,"B","HUMAN",NA,NA,NA,NA,"2015",8,0,1,0,0,0,NA,NA
"SRF-1488","DEL NORTE","GASQUET COMPLEX","7/31/15","10/15/15","USFS","Other Agencies",30361,"T","LIGHTNING",NA,NA,NA,NA,"2015",7,1,0,0,0,0,NA,NA
"MCP-2459","SAN DIEGO","HORNO","8/13/15","8/17/15","DOD","Other Agencies",1846,"B","HUMAN",NA,NA,NA,NA,"2015",8,0,1,0,0,0,NA,NA
"ANF-3611","LOS ANGELES","CABIN","8/14/15","8/20/15","USFS","Other Agencies",1723,"B","UNDETERMINED",3,NA,NA,NA,"2015",8,0,1,0,0,0,NA,NA
"INF-1319","MONO","WALKER","8/14/15","8/31/15","USFS","Other Agencies",3676,"TBG","UNDETERMINED",NA,NA,NA,NA,"2015",8,1,1,0,1,0,NA,NA
"ANF-3651","LOS ANGELES","WARM","8/16/15","8/19/15","USFS","Other Agencies",300,"B","UNDETERMINED",3,3,NA,NA,"2015",8,0,1,0,0,0,6,NA
"KRN-30112","KERN","DEER","8/18/15","8/20/15","KRN","Other Agencies",311,"TBG","UNDETERMINED",NA,NA,NA,NA,"2015",8,1,1,0,1,0,NA,NA
"YNP-123","MARIPOSA","TENAYA","9/7/15","9/16/15","USFS","Other Agencies",415,"TB","UNDETERMINED",NA,NA,NA,NA,"2015",9,1,1,0,0,0,NA,NA
"VNC-89187","VENTURA","SOLIMAR","12/25/15","12/28/15","VNC","Other Agencies",1288,"B","UNDETERMINED",NA,NA,NA,NA,"2015",12,0,1,0,0,0,NA,NA
"BEU-2369","MONTEREY","METZ","5/22/16","5/25/16","CAL FIRE","State and Contract Counties ",3876,"BG","DEBRIS BURNING",NA,NA,NA,NA,"2016",5,0,1,0,1,0,NA,NA
"MVU-14498","SAN DIEGO","BORDER 3","6/19/16","7/1/16","CAL FIRE","State and Contract Counties ",7609,"BG","UNDETERMINED",16,3,NA,2,"2016",6,0,1,0,1,0,19,NA
"MMU-12363","MERCED","DINOSAUR","6/25/16","6/26/16","CAL FIRE","State and Contract Counties ",1246,"G","VEHICLE",NA,NA,NA,NA,"2016",6,0,0,0,1,0,NA,NA
"AEU-17670","SACRAMENTO","RANCHO","6/28/16","6/30/16","CAL FIRE","State and Contract Counties ",372,"G","VEHICLE",NA,NA,NA,NA,"2016",6,0,0,0,1,0,NA,NA
"NEU-15200","PLACER","TRAILHEAD","6/28/16","8/14/16","CAL FIRE","State and Contract Counties ",5645,"BT","UNDETERMINED",NA,NA,NA,NA,"2016",6,1,1,0,0,0,NA,NA
"TGU-5731","TEHAMA","COLYEAR","6/30/16","7/6/16","CAL FIRE","State and Contract Counties ",464,"BG","ELECTRICAL POWER",NA,NA,NA,NA,"2016",6,0,1,0,1,0,NA,NA
"FKU-9100","FRESNO","CURRY","7/1/16","7/4/16","CAL FIRE","State and Contract Counties ",2944,"BG","UNDETERMINED",NA,NA,NA,NA,"2016",7,0,1,0,1,0,NA,NA
"KRN-24109","KERN","DEER","7/1/16","7/10/16","CC","State and Contract Counties ",1785,"BGT","UNDETERMINED",NA,NA,NA,NA,"2016",7,1,1,0,1,0,NA,NA
"TCU-6914","CALAVERAS","APPALOOSA","7/2/16","7/15/16","CAL FIRE","State and Contract Counties ",310,"BGT","ELECTRICAL POWER",1,NA,NA,NA,"2016",7,1,1,0,1,0,NA,NA
